MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,LIVE
3,EXC
4,FAIL
5,EXC
6,EXC
7,FAIL
8,EXC
9,EXC
10,EXC
11,EXC
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,LIVE
19,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,LIVE
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,LIVE
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,EXC
46,LIVE
47,FAIL
48,FAIL
49,FAIL
50,EXC
56,EXC
57,LIVE
58,EXC
59,LIVE
60,FAIL
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,LIVE
66,LIVE
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,LIVE
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,LIVE
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,EXC
84,FAIL
85,FAIL
86,EXC
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,EXC
94,FAIL
95,FAIL
96,EXC
97,FAIL
98,LIVE
99,FAIL
100,EXC
101,FAIL
102,LIVE
103,FAIL
104,FAIL
105,EXC
106,FAIL
107,EXC
108,FAIL
