TestNo,TestName
1,org.apache.commons.codec.net.UtilsTest
2,org.apache.commons.codec.net.RFC1522CodecTest
3,org.apache.commons.codec.DecoderExceptionTest
4,org.apache.commons.codec.EncoderExceptionTest
5,org.apache.commons.codec.StringEncoderComparatorTest
6,org.apache.commons.codec.CharEncodingTest
7,org.apache.commons.codec.binary.BaseNCodecTest
8,org.apache.commons.codec.language.bm.RuleTest
9,org.apache.commons.codec.binary.Base32Test
10,org.apache.commons.codec.language.RefinedSoundexTest
11,org.apache.commons.codec.net.BCodecTest
12,org.apache.commons.codec.binary.Base64Codec13Test
13,org.apache.commons.codec.binary.StringUtilsTest
14,org.apache.commons.codec.binary.BinaryCodecTest
15,org.apache.commons.codec.language.ColognePhoneticTest
16,org.apache.commons.codec.net.URLCodecTest
17,org.apache.commons.codec.net.QCodecTest
18,org.apache.commons.codec.language.bm.LanguageGuessingTest
19,org.apache.commons.codec.language.Caverphone1Test
20,org.apache.commons.codec.language.DoubleMetaphone2Test
21,org.apache.commons.codec.net.QuotedPrintableCodecTest
22,org.apache.commons.codec.language.SoundexTest
23,org.apache.commons.codec.language.Caverphone2Test
24,org.apache.commons.codec.language.DoubleMetaphoneTest
25,org.apache.commons.codec.binary.Base64Test
26,org.apache.commons.codec.language.MetaphoneTest
27,org.apache.commons.codec.binary.Base32OutputStreamTest
28,org.apache.commons.codec.binary.Base64OutputStreamTest
29,org.apache.commons.codec.binary.Base32InputStreamTest
30,org.apache.commons.codec.binary.Base64InputStreamTest
31,org.apache.commons.codec.binary.HexTest
32,org.apache.commons.codec.digest.DigestUtilsTest
33,org.apache.commons.codec.language.bm.BeiderMorseEncoderTest
