MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,FAIL
4,LIVE
5,EXC
6,EXC
7,LIVE
8,EXC
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,LIVE
19,FAIL
20,LIVE
21,FAIL
22,LIVE
23,FAIL
24,EXC
25,EXC
26,LIVE
27,LIVE
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,EXC
34,EXC
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,EXC
40,EXC
41,FAIL
42,FAIL
43,LIVE
44,EXC
45,FAIL
46,EXC
47,EXC
48,FAIL
49,EXC
50,LIVE
51,EXC
52,EXC
53,LIVE
54,LIVE
55,LIVE
56,FAIL
57,EXC
58,EXC
59,LIVE
60,LIVE
61,EXC
62,EXC
63,LIVE
64,EXC
65,EXC
66,EXC
67,LIVE
68,FAIL
69,LIVE
70,LIVE
71,EXC
72,FAIL
73,FAIL
74,LIVE
75,FAIL
76,FAIL
77,TIME
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,LIVE
89,LIVE
90,FAIL
91,EXC
92,FAIL
93,EXC
94,LIVE
95,LIVE
96,FAIL
97,LIVE
98,LIVE
99,LIVE
100,LIVE
101,LIVE
102,LIVE
103,LIVE
104,LIVE
105,FAIL
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,EXC
111,FAIL
112,FAIL
113,EXC
114,FAIL
115,FAIL
116,FAIL
