TestNo,TestName
1,org.apache.commons.compress.DetectCompressorTestCase
2,org.apache.commons.compress.archivers.memory.MemoryArchiveTestCase
3,org.apache.commons.compress.archivers.zip.ZipUtilTest
4,org.apache.commons.compress.archivers.cpio.CpioArchiveInputStreamTest
5,org.apache.commons.compress.archivers.zip.ZipLongTest
6,org.apache.commons.compress.archivers.zip.ZipShortTest
7,org.apache.commons.compress.archivers.tar.TarArchiveEntryTest
8,org.apache.commons.compress.archivers.zip.AsiExtraFieldTest
9,org.apache.commons.compress.archivers.zip.ExtraFieldUtilsTest
10,org.apache.commons.compress.archivers.ArTestCase
11,org.apache.commons.compress.archivers.zip.ZipArchiveEntryTest
12,org.apache.commons.compress.archivers.jar.JarArchiveOutputStreamTest
13,org.apache.commons.compress.archivers.TarTestCase
14,org.apache.commons.compress.archivers.zip.TestZipEncodings
15,org.apache.commons.compress.compressors.BZip2TestCase
16,org.apache.commons.compress.compressors.GZipTestCase
17,org.apache.commons.compress.archivers.ZipTestCase
18,org.apache.commons.compress.archivers.JarTestCase
19,org.apache.commons.compress.DetectArchiverTestCase
20,org.apache.commons.compress.archivers.CpioTestCase
21,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest
22,org.apache.commons.compress.changes.ChangeSetTestCase
