MutantNo,[FAIL | TIME | EXC | LIVE]
1,EXC
2,EXC
3,EXC
4,EXC
5,LIVE
6,LIVE
7,EXC
8,FAIL
9,FAIL
10,LIVE
11,LIVE
12,LIVE
13,LIVE
14,LIVE
15,LIVE
16,LIVE
17,EXC
18,LIVE
19,FAIL
20,EXC
21,LIVE
22,EXC
23,LIVE
24,LIVE
25,EXC
26,EXC
27,EXC
28,EXC
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,LIVE
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,LIVE
45,EXC
46,EXC
47,EXC
48,EXC
49,FAIL
50,LIVE
51,EXC
52,FAIL
53,EXC
54,FAIL
55,EXC
56,LIVE
57,EXC
58,FAIL
59,EXC
60,LIVE
61,EXC
62,LIVE
63,EXC
64,EXC
65,EXC
66,EXC
67,EXC
68,EXC
69,EXC
70,EXC
71,EXC
72,EXC
73,EXC
74,LIVE
75,EXC
76,EXC
77,EXC
78,FAIL
79,LIVE
80,FAIL
81,LIVE
82,LIVE
83,FAIL
84,LIVE
85,EXC
86,LIVE
87,LIVE
88,LIVE
89,LIVE
90,FAIL
91,FAIL
92,FAIL
93,LIVE
94,EXC
95,LIVE
96,LIVE
97,LIVE
98,EXC
99,LIVE
100,LIVE
101,LIVE
102,EXC
103,LIVE
104,LIVE
105,EXC
106,LIVE
107,LIVE
108,EXC
109,LIVE
110,LIVE
111,EXC
112,LIVE
113,LIVE
114,EXC
115,EXC
116,LIVE
117,EXC
118,LIVE
119,EXC
120,LIVE
121,LIVE
122,EXC
123,LIVE
124,LIVE
125,LIVE
126,FAIL
127,EXC
128,LIVE
129,FAIL
130,EXC
131,FAIL
132,FAIL
133,LIVE
134,FAIL
135,LIVE
136,LIVE
137,EXC
138,LIVE
139,LIVE
140,LIVE
141,LIVE
142,EXC
143,FAIL
146,LIVE
147,EXC
148,LIVE
149,LIVE
150,LIVE
151,EXC
152,FAIL
153,TIME
154,EXC
155,EXC
156,LIVE
157,LIVE
158,EXC
159,LIVE
160,LIVE
161,EXC
162,EXC
163,FAIL
164,LIVE
165,EXC
166,EXC
167,LIVE
168,LIVE
169,EXC
170,LIVE
171,FAIL
172,EXC
173,FAIL
174,LIVE
175,LIVE
176,LIVE
177,LIVE
178,EXC
179,EXC
180,LIVE
181,LIVE
182,FAIL
183,FAIL
184,LIVE
185,EXC
186,FAIL
187,LIVE
188,FAIL
191,FAIL
192,FAIL
193,LIVE
194,LIVE
195,FAIL
196,LIVE
197,LIVE
198,LIVE
199,LIVE
200,LIVE
201,LIVE
202,LIVE
203,LIVE
204,EXC
205,LIVE
206,LIVE
207,LIVE
208,FAIL
209,FAIL
210,EXC
211,LIVE
212,EXC
213,LIVE
214,EXC
215,FAIL
216,EXC
217,EXC
218,EXC
219,EXC
220,EXC
221,LIVE
222,LIVE
223,FAIL
224,FAIL
225,LIVE
226,EXC
227,FAIL
228,LIVE
229,EXC
230,LIVE
231,LIVE
233,LIVE
234,FAIL
235,EXC
236,FAIL
237,LIVE
238,EXC
239,LIVE
240,EXC
241,FAIL
242,FAIL
243,LIVE
244,EXC
245,FAIL
246,EXC
247,LIVE
248,EXC
249,LIVE
250,EXC
251,EXC
252,LIVE
253,FAIL
254,LIVE
255,LIVE
256,FAIL
257,EXC
258,EXC
259,EXC
260,LIVE
261,LIVE
262,EXC
263,LIVE
264,EXC
265,EXC
266,EXC
267,EXC
268,FAIL
269,EXC
270,FAIL
271,EXC
272,FAIL
273,EXC
274,FAIL
275,FAIL
276,FAIL
277,FAIL
278,FAIL
279,EXC
280,EXC
281,EXC
282,EXC
283,LIVE
284,LIVE
285,LIVE
286,EXC
287,LIVE
288,LIVE
289,EXC
290,LIVE
291,FAIL
292,EXC
293,EXC
294,EXC
295,EXC
296,EXC
297,LIVE
298,LIVE
299,LIVE
300,EXC
301,FAIL
302,EXC
303,FAIL
304,EXC
305,EXC
306,FAIL
307,EXC
308,EXC
309,LIVE
310,EXC
311,EXC
