MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,LIVE
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,LIVE
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,LIVE
24,LIVE
25,FAIL
26,LIVE
27,FAIL
28,FAIL
29,FAIL
30,LIVE
31,LIVE
32,LIVE
33,FAIL
34,LIVE
35,LIVE
36,LIVE
37,LIVE
38,LIVE
39,EXC
40,LIVE
41,LIVE
42,LIVE
43,LIVE
59,LIVE
60,LIVE
61,LIVE
63,EXC
64,EXC
65,EXC
66,EXC
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
80,EXC
81,LIVE
82,EXC
83,LIVE
84,EXC
85,LIVE
86,EXC
87,EXC
88,LIVE
89,EXC
90,EXC
91,EXC
92,LIVE
93,FAIL
94,LIVE
95,EXC
96,EXC
97,EXC
98,FAIL
