MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,LIVE
4,LIVE
5,LIVE
6,LIVE
7,FAIL
8,LIVE
9,LIVE
10,LIVE
11,LIVE
12,FAIL
13,EXC
14,EXC
15,LIVE
16,LIVE
17,EXC
18,FAIL
47,LIVE
48,LIVE
49,LIVE
50,FAIL
51,LIVE
52,FAIL
53,FAIL
54,FAIL
55,LIVE
56,LIVE
57,LIVE
58,LIVE
59,LIVE
60,FAIL
63,LIVE
64,EXC
65,LIVE
66,EXC
67,EXC
68,FAIL
69,LIVE
70,EXC
71,FAIL
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,EXC
77,FAIL
78,FAIL
79,FAIL
80,EXC
81,EXC
82,LIVE
83,LIVE
84,EXC
85,LIVE
86,LIVE
87,EXC
88,FAIL
89,FAIL
90,EXC
91,EXC
92,LIVE
93,EXC
94,FAIL
95,LIVE
96,FAIL
97,FAIL
98,FAIL
99,EXC
100,FAIL
101,FAIL
102,LIVE
103,FAIL
104,LIVE
105,LIVE
106,FAIL
107,EXC
108,FAIL
109,LIVE
110,FAIL
111,FAIL
112,EXC
113,LIVE
114,LIVE
115,LIVE
116,LIVE
117,LIVE
118,LIVE
119,FAIL
120,FAIL
121,EXC
122,FAIL
123,FAIL
124,EXC
125,FAIL
126,FAIL
127,FAIL
128,FAIL
129,FAIL
130,LIVE
131,EXC
132,FAIL
133,LIVE
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,LIVE
139,LIVE
143,EXC
144,LIVE
145,LIVE
146,FAIL
148,FAIL
149,LIVE
150,FAIL
151,FAIL
152,FAIL
153,LIVE
154,LIVE
155,FAIL
156,FAIL
158,FAIL
