TestNo,TestName
1,com.fasterxml.jackson.core.io.TestCharTypes
2,com.fasterxml.jackson.core.util.TestCharTypes
3,com.fasterxml.jackson.core.TestExceptions
4,com.fasterxml.jackson.core.io.TestIOContext
5,com.fasterxml.jackson.core.io.TestMergedStream
6,com.fasterxml.jackson.core.io.TestUTF8Writer
7,com.fasterxml.jackson.core.base64.TestBase64Codec
8,com.fasterxml.jackson.core.util.TestSerializedString
9,com.fasterxml.jackson.core.TestJsonPointer
10,com.fasterxml.jackson.core.util.TestVersionUtil
11,com.fasterxml.jackson.core.io.TestJDKSerializable
12,com.fasterxml.jackson.core.json.TestParserOverrides
13,com.fasterxml.jackson.core.json.TestUnicode
14,com.fasterxml.jackson.core.main.TestArrayParsing
15,com.fasterxml.jackson.core.json.TestDecorators
16,com.fasterxml.jackson.core.json.TestValueConversions
17,com.fasterxml.jackson.core.main.TestParserLinefeeds
18,com.fasterxml.jackson.core.TestVersions
19,com.fasterxml.jackson.core.format.TestJsonFormatDetection
20,com.fasterxml.jackson.core.json.TestCustomEscaping
21,com.fasterxml.jackson.core.main.TestParserFeatures
22,com.fasterxml.jackson.core.json.TestGeneratorDupHandling
23,com.fasterxml.jackson.core.json.TestLocation
24,com.fasterxml.jackson.core.json.TestParserErrorHandling
25,com.fasterxml.jackson.core.main.TestParserWithObjects
26,com.fasterxml.jackson.core.json.TestRootValues
27,com.fasterxml.jackson.core.sym.TestByteBasedSymbols
28,com.fasterxml.jackson.core.base64.TestBase64Generation
29,com.fasterxml.jackson.core.base64.TestJsonParserBinary
30,com.fasterxml.jackson.core.json.TestParserDupHandling
31,com.fasterxml.jackson.core.main.TestGeneratorArray
32,com.fasterxml.jackson.core.main.TestGeneratorCopy
33,com.fasterxml.jackson.core.json.TestGeneratorWithSerializedString
34,com.fasterxml.jackson.core.main.TestScopeMatching
35,com.fasterxml.jackson.core.sym.TestHashCollisionChars
36,com.fasterxml.jackson.core.json.TestUtf8Parser
37,com.fasterxml.jackson.core.main.TestGeneratorClosing
38,com.fasterxml.jackson.core.json.TestCharEscaping
39,com.fasterxml.jackson.core.sym.TestJsonParserSymbols
40,com.fasterxml.jackson.core.json.TestJsonFactory
41,com.fasterxml.jackson.core.main.TestParserClosing
42,com.fasterxml.jackson.core.util.TestDelegates
43,com.fasterxml.jackson.core.json.TestUtf8Generator
44,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures
45,com.fasterxml.jackson.core.main.TestPrettyPrinter
46,com.fasterxml.jackson.core.util.TestTextBuffer
47,com.fasterxml.jackson.core.json.TestComments
48,com.fasterxml.jackson.core.json.TestParserNonStandard
49,com.fasterxml.jackson.core.json.TestJsonGenerator
50,com.fasterxml.jackson.core.main.TestGeneratorObject
51,com.fasterxml.jackson.core.json.TestWithTonsaSymbols
52,com.fasterxml.jackson.core.json.TestNumericValues
53,com.fasterxml.jackson.core.io.TestJsonStringEncoder
54,com.fasterxml.jackson.core.json.TestJsonParser
55,com.fasterxml.jackson.core.TestJDKSerializability
56,com.fasterxml.jackson.core.sym.TestSymbolTables
57,com.fasterxml.jackson.core.base64.TestBase64Parsing
58,com.fasterxml.jackson.core.main.TestRawStringWriting
59,com.fasterxml.jackson.core.main.TestNumberParsing
60,com.fasterxml.jackson.core.util.TestNumberPrinting
61,com.fasterxml.jackson.core.json.TestNextXxx
62,com.fasterxml.jackson.core.main.TestGeneratorMisc
63,com.fasterxml.jackson.core.main.TestStringGeneration
