MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,EXC
3,LIVE
4,LIVE
5,LIVE
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,EXC
11,FAIL
12,EXC
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,LIVE
20,LIVE
21,FAIL
22,LIVE
23,LIVE
24,FAIL
25,LIVE
26,LIVE
27,FAIL
28,LIVE
29,LIVE
30,FAIL
31,TIME
32,FAIL
33,TIME
34,FAIL
35,TIME
36,LIVE
37,EXC
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,LIVE
43,FAIL
44,LIVE
45,LIVE
46,FAIL
47,LIVE
48,FAIL
49,FAIL
50,FAIL
51,FAIL
52,LIVE
53,FAIL
54,LIVE
55,LIVE
56,FAIL
57,LIVE
58,FAIL
59,LIVE
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,LIVE
65,LIVE
66,LIVE
67,LIVE
68,LIVE
69,LIVE
70,LIVE
71,LIVE
72,LIVE
73,LIVE
74,LIVE
75,LIVE
76,LIVE
77,LIVE
78,LIVE
79,LIVE
80,LIVE
81,LIVE
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,LIVE
87,LIVE
88,LIVE
89,LIVE
90,LIVE
91,LIVE
92,LIVE
93,LIVE
94,LIVE
95,LIVE
96,LIVE
97,LIVE
98,LIVE
99,LIVE
100,LIVE
101,LIVE
102,FAIL
103,FAIL
104,LIVE
105,LIVE
106,LIVE
107,FAIL
108,FAIL
109,LIVE
110,FAIL
111,FAIL
112,LIVE
113,FAIL
114,TIME
115,FAIL
116,FAIL
117,EXC
118,FAIL
119,FAIL
120,EXC
121,FAIL
122,FAIL
123,FAIL
124,LIVE
125,LIVE
127,FAIL
128,FAIL
129,LIVE
131,FAIL
132,EXC
133,EXC
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,LIVE
139,FAIL
140,LIVE
141,LIVE
142,FAIL
143,LIVE
144,FAIL
145,EXC
146,TIME
147,FAIL
148,LIVE
149,EXC
150,LIVE
151,LIVE
152,EXC
153,LIVE
154,FAIL
155,LIVE
156,EXC
157,FAIL
158,FAIL
159,LIVE
160,LIVE
162,LIVE
163,LIVE
164,FAIL
165,LIVE
166,LIVE
167,FAIL
168,LIVE
169,LIVE
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,FAIL
178,FAIL
179,FAIL
180,FAIL
181,FAIL
182,LIVE
183,LIVE
184,LIVE
185,FAIL
186,LIVE
187,LIVE
188,LIVE
189,LIVE
190,FAIL
191,FAIL
192,LIVE
193,FAIL
194,LIVE
195,FAIL
